Nazwa,Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Piętro,Liczba pięter,Liczba poziomów mieszkania,Liczba sypialni,Rynek,Rodzaj umowy,Typ budynku,Materiał budowlany,Rok budowy,Ogrzewanie,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Typ kuchni,Liczba łazienek,Balkon,Taras,Forma własności,Stan budynku,Stan nieruchomości,Stolarka okienna,Dostępne od,Wysokość wnętrza,łazienka razem z WC,Depozyt za wynajem,Pow. balkonu,Pow. ogródka,Cena do negocjacji,Pow. łazienki,Pow. użytkowa,Pow. tarasu,Dodatkowe koszty,Pow. loggii,Typ domu,Urządzony ogród,Typ nieruchomości,Typ oferty
Komfortowe 4 Pokoje Nowa Inwestycja 1 5 km od Molo,2290825.0,Sopot,Górny Sopot, 4,106.55,1,3,,3.0,Pierwotny,,Apartamentowiec,,2024.0,Co Miejskie,17.04.2024,17.04.2024,morizon-181414,26,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie Sopot 2 pok blisko plaża i las - okazja - właściciel,559000.0,Sopot,Kamienny Potok, 2,35.0,6,10,,,Wtórny,,Blok,Wielka płyta,,,05.04.2024,06.04.2024,morizon-gratka-34192533,115,0,Osobna,,Tak,,,,,,01.06.2024,,Tak,,,,,,,,,,,,,Sprzedaży
3 pokoje z widokiem na Zatokę | Sopot,649000.0,Sopot,Przylesie, 3,46.5,9,10,1.0,3.0,Wtórny,Na wyłączność,Wieżowiec,Pustak,1972.0,Co Miejskie,26.03.2024,18.04.2024,morizon-ON955902,214,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Idealny apartament z podziałem na 2 osobne lokale,1499000.0,Sopot,Górny Sopot, 4,70.12,3,3,,3.0,Wtórny,Na wyłączność,Kamienica,,1907.0,Gazowe,05.03.2024,15.04.2024,morizon-DH335317,223,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
3 pokoje w świetnej lokalizacji,709000.0,Sopot,Kamienny Potok, 3,53.0,2,10,,,Wtórny,,Wieżowiec,,1980.0,Co Miejskie,16.11.2023,01.12.2023,morizon-PH588889,450,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie inwestycyjne Sopot Smolna,734000.0,Sopot,Świemirowo, 2,70.44,2,3,,,Wtórny,,Dom wielorodzinny,Zróżnicowany,1990.0,,11.04.2024,11.04.2024,morizon-7,110,0,Osobna,1.0,Nie,Nie,Własność,Inna,Do remontu,,30.04.2024,,Tak,,,,Tak,,,,,,,,,Sprzedaży
Widokowe mieszkanie w Sopocie,799000.0,Sopot,Kamienny Potok, 2,50.6,8,10,,,Wtórny,Na wyłączność,Blok,,1984.0,Co Miejskie,09.04.2024,09.04.2024,morizon-PH951646,68,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot3 pokoje blisko SKM,1390000.0,Sopot,Dolny Sopot, 3,94.54,2,2,1.0,2.0,Wtórny,,Kamienica,Cegła,1910.0,Gazowe,20.03.2024,11.04.2024,morizon-DH919869,171,0,,,Nie,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament 106m2 | 5 pokoi | Sopot | Nowy,2284375.0,Sopot,Górny Sopot, 5,106.25,2,3,,,Pierwotny,,Apartamentowiec,,2024.0,C.O. Z SIECI MIEJSKIEJ,03.04.2024,03.04.2024,morizon-25429/7649/OMS,56,0,ANEKS KUCHENNY,1.0,,,,,DO WYKOŃCZENIA,,03.04.2024,,,,,,,,,,,,,,,Sprzedaży
Ustawneduże2 pokojowe na sprzedaż - Sopot Kami,780000.0,Sopot,Kamienny Potok, 2,49.0,3,3,,,Wtórny,Na wyłączność,,,1983.0,C.o. miejskie,27.02.2024,20.04.2024,morizon-ET033041,480,0,Osobna,1.0,Nie,Nie,Własność,Do zamieszkania,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot Dolny w dobrej cenie,1760000.0,Sopot,Dolny Sopot, 5,98.0,3,3,,,Wtórny,Na wyłączność,Historyczny/zabytkowy,Cegła,1895.0,Co Miejskie,27.02.2024,21.04.2024,morizon-DH349954,292,0,,,,,,,,,26.03.2024,,,,,,,,,,,,,,,Sprzedaży
Sopocki unikat przy plaży z windą,2700000.0,Sopot,Dolny Sopot, 3,82.03,2,3,2.0,2.0,Wtórny,Na wyłączność,Apartamentowiec,,2004.0,,13.03.2024,22.04.2024,morizon-962118,129,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Dolny Sopot | Wyposażenie w cenie I,749000.0,Sopot,Dolny Sopot, 3,46.8,1,2,,3.0,Wtórny,Na wyłączność,Kamienica,Cegła,1930.0,Gazowe,07.03.2024,19.04.2024,morizon-TY949484,180,0,,,,,,,,,31.03.2024,,,,,,,,,,,,,,,Sprzedaży
Wysoki standard po remoncie 3 pokoje 120m Sopot,1540000.0,Sopot,Wyścigi, 3,120.0,2,2,,,Wtórny,Na wyłączność,,,2002.0,,10.04.2024,12.04.2024,morizon-HEX162848,79,0,,,,,,,,,,,,,,,,,"89,77 m²",,,,,,,Sprzedaży
Apartament w Sopocie – niecałe 280 metrów od morza,2800000.0,Sopot,Dolny Sopot, 4,105.36,1,3,,,Wtórny,Na wyłączność,,,2024.0,C.o. miejskie,12.04.2024,12.04.2024,morizon-NY018309,48,0,Półotwarta,2.0,Tak,Nie,(Nieznany),Deweloperski,,,,,Nie,,,,,,,,,,,,,Sprzedaży
Mieszkanie do remontu w spokojnej dzielnicy Sopotu,519000.0,Sopot,Kamienny Potok, 2,41.91,9,10,,,Wtórny,,,,1976.0,C.o. miejskie,01.03.2024,16.04.2024,morizon-OR016285,398,0,Osobna,1.0,Tak,Nie,Spółdzielcze własnościowe z KW,Do remontu,,,,,,,"2,50 m²",,,,,,,,,,,Sprzedaży
Mieszkanie 2-pok | Wysoki standard | Sopot,680000.0,Sopot,Górny Sopot, 2,39.0,5,10,,,Wtórny,,Wieżowiec,,,Co Miejskie,18.03.2024,20.04.2024,morizon-AG800085,110,0,,,Tak,,,,,,01.02.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie w Sopocieblisko plaży,975000.0,Sopot,Karlikowo, 2,53.1,2,2,,,Wtórny,,,,1920.0,,29.01.2024,24.03.2024,morizon-Aa537026,76,0,,,Tak,,,,,,15.09.2023,,,,,,,,"42,34 m²",,,,,,,Sprzedaży
Sopot - Apartament z ogródkiem,1015099.0,Sopot,Świemirowo, 2,51.9,3,3,1.0,1.0,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,28.01.2024,03.04.2024,morizon-EC982740,209,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Trzypokojowe mieszkanie w Sopocie ul. Sobieskiego,1177000.0,Sopot,Dolny Sopot, 3,75.0,3,3,,3.0,Wtórny,Na wyłączność,Kamienica,Cegła,1910.0,Gazowe,01.02.2024,06.04.2024,morizon-DH619788,251,0,,,,,,,,,,,,,,,,,"74,56 m²",,,,,,,Sprzedaży
Sopot - Apartament z dwoma balkonami,1979162.0,Sopot,Świemirowo, 3,88.0,2,3,1.0,2.0,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,28.01.2024,03.04.2024,morizon-EC828022,191,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Kawalerka w Sopocie z widokiem,570000.0,Sopot,Górny Sopot, 1,30.0,6,10,,,Wtórny,,Blok,,1988.0,Co Własne,18.04.2024,18.04.2024,morizon-DH923735,50,0,,,Nie,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Parter2-pokojeblisko lasucisza i spokój,599000.0,Sopot,Przylesie, 2,37.96,3,3,,,Wtórny,Na wyłączność,,,1969.0,C.o. miejskie,17.04.2024,16.04.2024,morizon-KJ04302,64,0,Osobna,1.0,Tak,Nie,(Nieznany),Częściowo po remoncie,,,,,,,,,,,,,,,,,,Sprzedaży
Lokal/mieszkanie/biuro- pewna inwestycja w Centrum,649000.0,Sopot,Górny Sopot, 3,50.0,3,3,,2.0,Wtórny,,Kamienica,,1950.0,Gazowe,02.02.2024,15.04.2024,morizon-CP191069,459,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot Górnyapartament 2 pokoje -SPA,1015099.0,Sopot,Górny Sopot, 2,51.9,3,3,,1.0,Wtórny,,Blok,,2024.0,,28.02.2024,06.03.2024,morizon-DH610332,112,0,,,,Tak,,,,,,,,,,,,,"49,51 m²",,,,,,,Sprzedaży
Dwupak Inwestycyjny Blisko Plaży,1999000.0,Sopot,Dolny Sopot, 3,74.0,3,3,,,Wtórny,Na wyłączność,Apartamentowiec,,2013.0,Co Miejskie,17.04.2024,17.04.2024,morizon-PH908149,36,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Przytulne 2 pokoje w cichym miejscu w Sopocie ,599000.0,Sopot,Górny Sopot, 2,38.78,1,4,,,Wtórny,Na wyłączność,Blok,Cegła,1960.0,Co Miejskie,06.02.2024,17.04.2024,morizon-PAN974319,382,0,,,Nie,Nie,,,,,01.11.2023,,,,,,,,,,,,,,,Sprzedaży
Lipowa 10,1255800.0,Sopot,Dolny Sopot, 3,69.0,2,2,1.0,,Wtórny,Na wyłączność,Dom wielorodzinny,Cegła,,,05.03.2024,14.04.2024,morizon-5,368,0,Osobna,1.0,Tak,Nie,Własność,Dobry,Do remontu,,,320 cm,Tak,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Eleganckie 2 pokoje Aquarius Sopot,1499000.0,Sopot,Górny Sopot, 2,47.0,3,3,1.0,,Wtórny,Na wyłączność,Apartamentowiec,Cegła,2009.0,Co Miejskie,11.03.2024,11.03.2024,morizon-WH335610,171,0,,,Tak,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartamenty w Sopocie z widokiem na morze,9725700.0,Sopot,Dolny Sopot, 6,200.0,3,3,1.0,,Wtórny,Na wyłączność,Apartamentowiec,Cegła,2013.0,Co Miejskie,23.01.2024,05.04.2024,morizon-WH420674,485,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie Sopot 200m od Monciaka inwestycja najem,999999.0,Sopot,Górny Sopot, 2,63.48,3,3,,1.0,Wtórny,Na wyłączność,Blok,Cegła,1960.0,Gazowe,01.02.2024,20.04.2024,morizon-665854,313,0,,,,,,,,,01.01.2025,,,,,,,,,,,,,,,Sprzedaży
Sopot Górnyapartament 2 pok /SPA,1043777.0,Sopot,Górny Sopot, 2,51.6,3,3,,1.0,Pierwotny,,Blok,,2024.0,,28.02.2024,28.02.2024,morizon-DH370306,103,0,,,,Tak,,,,,21.02.2024,,,,,,,,"49,20 m²",,,,,,,Sprzedaży
3 pokoje w Świetnej lokalizacji,1450000.0,Sopot,Dolny Sopot, 3,75.3,3,3,2.0,2.0,Wtórny,Na wyłączność,,,1914.0,,25.03.2024,12.04.2024,morizon-HEX756961,166,0,,,,,,,,,25.03.2024,,,,,,,,"59,30 m²",,,,,,,Sprzedaży
Sopot Górnyapartament 4 pok /SPA,2113769.0,Sopot,Górny Sopot, 4,96.2,1,3,,3.0,Wtórny,,Blok,,2024.0,,28.02.2024,28.02.2024,morizon-DH998302,130,0,,,Tak,Tak,,,,,22.02.2024,,,,,,,,"91,03 m²",,,,,,,Sprzedaży
luksusowy apartament z widokiem na morzeSopot,4253600.0,Sopot,Dolny Sopot, 3,87.0,3,3,1.0,,Wtórny,Na wyłączność,Apartamentowiec,Silikat,2013.0,Co Miejskie,23.01.2024,16.04.2024,morizon-WH996127,263,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
luksusowy apartament z widokiem na morzeSopot,5472100.0,Sopot,Dolny Sopot, 3,113.0,3,3,1.0,,Wtórny,Na wyłączność,Apartamentowiec,Cegła,2013.0,Co Miejskie,23.01.2024,16.04.2024,morizon-WH725931809,298,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
POD LASEM | 10 MIN DO SKM | 20 MIN DO MORZA,460000.0,Sopot,Górny Sopot, 1,31.0,1,3,,,Wtórny,Na wyłączność,Dom,,1980.0,C.O. ELEKTRYCZNE,29.02.2024,16.04.2024,morizon-9010/8976/OMS,494,0,ANEKS KUCHENNY,,,,WŁASNOŚĆ,,WYSOKI STANDARD,,,,,,,,,,,,,,,,,Sprzedaży
Przytulne mieszkanie właśnie dla Ciebie! Sopot,599000.0,Sopot,Kamienny Potok, 2,38.0,2,10,,1.0,Wtórny,Na wyłączność,Blok,,1980.0,Co Miejskie,23.01.2024,20.04.2024,morizon-DH616280,359,0,,,Tak,,,,,,24.01.2024,,,,,,,,,,,,,,,Sprzedaży
Sopot Górny Dwupoziomowy penthouse,2985000.0,Sopot,Górny Sopot, 4,164.7,1,2,,2.0,Wtórny,,Blok,,2000.0,Gazowe,09.01.2024,11.04.2024,morizon-DH940631,201,0,,,Tak,,,,,,,,,,,,,,"124,60 m²",,,,,,,Sprzedaży
7 POKOI NA KRÓTKITERMIN | WYSOKA STOPA ZWROTU,3100000.0,Sopot,Dolny Sopot, 8,197.38,3,3,,,Wtórny,,Kamienica,Cegła,1952.0,Co Miejskie,01.02.2024,11.04.2024,morizon-PAN936739,319,0,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Dobrze prosperujący hostel w sercu kurortu,3100000.0,Sopot,Dolny Sopot, 8,197.38,3,3,,8.0,Wtórny,Na wyłączność,Kamienica,Cegła,1970.0,Co Miejskie,18.01.2024,18.04.2024,morizon-EC160636,137,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament z widokiem na morzetuż przy plaży,5082000.0,Sopot,Dolny Sopot, 3,92.4,3,3,1.0,2.0,Wtórny,,,,1905.0,,17.02.2024,21.04.2024,morizon-EC967262,513,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Perełka w Dolnym Sopocie z widokiem na Grand Hotel,2100000.0,Sopot,Dolny Sopot, 3,74.57,2,3,1.0,,Wtórny,Na wyłączność,,,1904.0,,04.03.2024,19.04.2024,morizon-HEX246678,140,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
4 pokojenowastylowa iwestycja,2377438.0,Sopot,Górny Sopot, 4,114.4,3,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,20.02.2024,28.02.2024,morizon-DH825430,111,0,,,,,,,,,01.11.2023,,,,,,,,"107,54 m²",,,,,,,Sprzedaży
Sopot Górny słoneczne dwa pokoje 38 m²,599000.0,Sopot,Świemirowo, 2,38.0,4,10,,,Wtórny,,Wieżowiec,WIELKA PŁYTA,,C.O. Z SIECI MIEJSKIEJ,25.02.2024,24.03.2024,morizon-19/14365/OMS,372,0,,,,,,,DOBRY,,26.02.2024,,,,,,,,,,,,,,,Sprzedaży
Wysoki standard-Sopot-blisko morza,690000.0,Sopot,Górny Sopot, 2,39.0,5,10,,2.0,Wtórny,,Blok,,1970.0,Co Miejskie,11.03.2024,11.03.2024,morizon-CP813678,157,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
350 metrów od plaży,2990000.0,Sopot,Dolny Sopot, 4,105.36,1,3,1.0,,Wtórny,Na wyłączność,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,22.03.2024,22.03.2024,morizon-WH544119,103,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
350 metrów od plaży,2990000.0,Sopot,Dolny Sopot, 4,105.36,3,3,1.0,,Wtórny,Na wyłączność,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,22.03.2024,22.03.2024,morizon-WH510679,74,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie spółdzielcze własnościowe 35 4 m2Sopot Przylesie ,510000.0,Sopot,Przylesie, 2,35.4,1,10,,,Wtórny,,Blok,Wielka płyta,1979.0,,10.04.2024,16.04.2024,morizon-gratka-34244155,104,0,Osobna,,Tak,,Spoldzielcze-wlasnosciowe,,,,,,Tak,,,,,,,,,,,,,Sprzedaży
Spółdzielczo-własnościowe z widokiem na morze,620000.0,Sopot,Górny Sopot, 2,37.7,8,9,,,Wtórny,Na wyłączność,Blok,Wielka płyta,1970.0,Ogrzewanie miejskie,15.02.2024,24.03.2024,morizon-CABA177,252,0,Aneks kuchenny,,Tak,,Spółdzielcza własnościowa z KW,,Do odnowienia,,,,,,,,,,,,,,,,,Sprzedaży
3 Pokoje Blisko Plaży i Monciaka w Sopocie,649000.0,Sopot,Górny Sopot, 3,50.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1950.0,C.O. GAZOWE,21.03.2024,22.04.2024,morizon-1873/13290/OMS,325,0,ODDZIELNA,1.0,,,WŁASNOŚĆ,,,,,,,,,,,,,,,,,,,Sprzedaży
2 pokoje z ogródkiemcisza pod lasem w Sopocie,1042719.0,Sopot,Górny Sopot, 2,45.2,3,3,,,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,01.12.2023,29.03.2024,morizon-DH262528,185,0,,,,Tak,,,,,01.12.2023,,,,,,,,"43,26 m²",,,,,,,Sprzedaży
3 pokoje z ogródkiemcisza pod lasem w Sopocie,1739563.0,Sopot,Górny Sopot, 3,69.9,3,3,,2.0,Pierwotny,,Apartamentowiec,,2023.0,Co Miejskie,01.12.2023,29.03.2024,morizon-DH354831,122,0,,,,Tak,,,,,01.12.2023,,,,,,,,"66,30 m²",,,,,,,Sprzedaży
Słoneczne 100-metrowe mieszkanieblisko plaży,1975000.0,Sopot,Dolny Sopot, 4,100.0,2,3,,3.0,Wtórny,Na wyłączność,Kamienica,,1903.0,Gazowe,13.02.2024,26.03.2024,morizon-EC196789,393,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
3 lub 4 sypialnie parter,1090000.0,Sopot,Górny Sopot, 2,60.69,3,3,,,Wtórny,,Blok,,1960.0,C.O. GAZOWE,07.03.2024,25.03.2024,morizon-2786/9862/OMS,255,0,ODDZIELNA,1.0,,,WŁASNOŚĆ,,WYSOKI STANDARD,,,,,,,,,,,,,,,,,Sprzedaży
3 albo 4 POKOJE w centrum SOPOTU,1199000.0,Sopot,Dolny Sopot, 3,64.17,3,4,,,Wtórny,Na wyłączność,,,1960.0,,14.01.2024,17.04.2024,morizon-OE576750,313,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Kamienny Potok,1250000.0,Sopot,Kamienny Potok, 3,46.7,7,10,,,Wtórny,Na wyłączność,,,1983.0,C.o. miejskie,12.03.2024,11.03.2024,morizon-ZA016465,192,0,Półotwarta,1.0,Tak,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Okazja inwestycyjna w sercu Sopotu-pakiet mieszkań,1275000.0,Sopot,Dolny Sopot, 5,99.3,3,3,,4.0,Wtórny,Na wyłączność,Kamienica,,1905.0,,20.02.2024,14.03.2024,morizon-DH297072,206,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament od zaraz w Sopocie Dolnym,1470000.0,Sopot,Dolny Sopot, 2,48.7,3,4,,1.0,Wtórny,,,,,,06.02.2024,22.04.2024,morizon-EC511032,292,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Słoneczne mieszkanie z balkonemblisko plaży,1890000.0,Sopot,Dolny Sopot, 3,101.76,3,4,1.0,2.0,Wtórny,Na wyłączność,Kamienica,,1910.0,Gazowe,22.05.2023,12.04.2024,morizon-EC689144,755,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament w centrum Sopotu,1980000.0,Sopot,Górny Sopot, 3,101.0,1,3,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1915.0,Gazowe,17.02.2023,05.04.2024,morizon-EC307990,1 765,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Słonecznedwupiętrowe mieszkanie z 2 balkonami,2200000.0,Sopot,Wyścigi, 3,77.08,2,4,,2.0,Wtórny,Na wyłączność,Apartamentowiec,,1998.0,Co Miejskie,15.02.2024,15.02.2024,morizon-DH632687,176,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Pięknestylowe mieszkanie w centrum Sopotu,2790000.0,Sopot,Dolny Sopot, 2,112.0,3,3,1.0,1.0,Wtórny,,Kamienica,Cegła,1903.0,Gazowe,31.01.2024,07.03.2024,morizon-DH867184,143,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Prestiżowe miejscemożliwość dokupienia garażu,3102000.0,Sopot,Dolny Sopot, 4,141.0,3,3,1.0,3.0,Wtórny,Na wyłączność,Kamienica,Cegła,1906.0,Gazowe,10.02.2024,01.03.2024,morizon-EC350946,502,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Połowa domu w Sopocie Górnym,3190000.0,Sopot,Górny Sopot, 6,222.64,1,2,1.0,4.0,Wtórny,Na wyłączność,Bliźniak,Cegła,1925.0,Gazowe,20.01.2023,18.04.2024,morizon-WH593550,1 248,0,,,,,,,,,,,,,,,,,250 m²,,,,,,,Sprzedaży
Luksusowy apartament w centrum Sopotu,3200000.0,Sopot,Górny Sopot, 3,150.0,2,3,,2.0,Wtórny,,Kamienica,Cegła,1922.0,Gazowe,15.07.2022,05.04.2024,morizon-EC157496,2 469,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Wspaniała Inwestycja w Górnym Sopocie,680000.0,Sopot,Górny Sopot, 2,39.0,5,10,,1.0,Wtórny,,,,1970.0,,01.02.2024,16.04.2024,morizon-996784,331,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Świetne mieszkanie z dużym tarasemblisko plaży,1495000.0,Sopot,Dolny Sopot, 2,47.83,3,3,,1.0,Wtórny,Na wyłączność,Kamienica,Cegła,1910.0,Gazowe,11.01.2024,15.04.2024,morizon-EC124661,259,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Po generalnym remonciez okien widoki na zieleńmiejsce parkingowekameralnie,699300.0,Sopot,Kamienny Potok, 2,37.0,2,4,1.0,,Wtórny,Na wyłączność,Blok,Cegła,1960.0,Miejskie,16.04.2024,20.04.2024,morizon-SE02033,44,0,Osobna,1.0,Nie,Nie,Własność,Dobry,Wysoki standard,,,260 cm,Tak,,,,,,,,,,,,,Sprzedaży
Mieszkanie w Sopocieblisko plaży,975000.0,Sopot,Karlikowo, 2,53.1,2,2,,,Wtórny,,,,1920.0,,28.09.2023,11.04.2024,morizon-311957,372,0,,,Tak,,,,,,15.09.2023,,,,,,,,"42,34 m²",,,,,,,Sprzedaży
Dwupokojowejasne mieszkanie z werandą,1780350.0,Sopot,Dolny Sopot, 2,53.95,2,2,,1.0,Wtórny,Na wyłączność,,,1945.0,,28.01.2024,21.04.2024,morizon-EC928625,322,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Dolny,1850000.0,Sopot,Dolny Sopot, 3,87.6,1,3,,,Wtórny,,,,1900.0,Gazowe,27.03.2024,04.04.2024,morizon-CN0767,117,0,Osobna,2.0,Tak,Nie,Własność,Do remontu,,,,,,,,,,,,,,,,,,Sprzedaży
Luksusowy 4 pokojowy apartament w Dolnym Sopocie,2600000.0,Sopot,Dolny Sopot, 4,114.82,2,2,2.0,3.0,Wtórny,,Kamienica,Cegła,1903.0,Gazowe,04.03.2023,06.03.2024,morizon-854864904,492,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie inwestycyjne! Blisko morza! 3 pokoje,1083000.0,Sopot,Karlikowo, 3,57.0,3,3,,,Wtórny,Na wyłączność,Blok,,1994.0,Co Miejskie,19.05.2023,29.02.2024,morizon-TY843160,964,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Opis nieruchomości,1249000.0,Gdańsk,"Morena, ", 4,75.73,3,3,,3.0,Wtórny,,Blok,,2021.0,Co Miejskie,27.11.2023,20.03.2024,morizon-PH468751,357,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
wysokie sufityklimatyczne mieszkanie,1350000.0,Sopot,Dolny Sopot, 3,85.8,2,3,,,Wtórny,,Kamienica,Cegła,1900.0,Elektryczne,13.03.2024,19.03.2024,morizon-PAN360151,101,0,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Centrum Sopotu 3 min molo ! Super Cena,1959000.0,Sopot,Dolny Sopot, 4,90.0,3,3,,3.0,Wtórny,,Kamienica,,,Gazowe,04.01.2024,04.04.2024,morizon-752151,216,0,,,,,,,,,,,,,,,,,105 m²,,,,,,,Sprzedaży
Kup mieszkanie w Dolnym Sopocieblisko morza,2241000.0,Sopot,Dolny Sopot, 4,90.0,1,2,,,Wtórny,Na wyłączność,Kamienica,,1930.0,,28.09.2023,19.04.2024,morizon-DH227235,250,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Loftowy Apartament z balkonem,2790000.0,Sopot,Dolny Sopot, 2,112.0,3,3,1.0,1.0,Wtórny,,,,1903.0,,04.10.2023,12.04.2024,morizon-EC249727,232,0,,,Tak,,,,,,05.10.2023,,,,,,,,,,,,,,,Sprzedaży
Kawalerka z widokiem na morze,399000.0,Sopot,Kamienny Potok, 1,25.2,4,10,,1.0,Wtórny,Na wyłączność,Wieżowiec,Wielka płyta,1970.0,Co Miejskie,20.02.2024,22.04.2024,morizon-Sienkiewicza 2,305,0,,,,,,,,,01.06.2024,,,,,,,,,,,,,,,Sprzedaży
