Nazwa,Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Piętro,Liczba pięter,Liczba poziomów mieszkania,Liczba sypialni,Rynek,Rodzaj umowy,Typ budynku,Materiał budowlany,Rok budowy,Ogrzewanie,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Typ kuchni,Liczba łazienek,Balkon,Taras,Forma własności,Stan budynku,Stan nieruchomości,Stolarka okienna,Dostępne od,Wysokość wnętrza,łazienka razem z WC,Depozyt za wynajem,Pow. balkonu,Pow. ogródka,Cena do negocjacji,Pow. łazienki,Pow. użytkowa,Pow. tarasu,Dodatkowe koszty,Pow. loggii,Typ domu,Urządzony ogród,Typ nieruchomości,Typ oferty
3 pokoje w Sopocie w kamienicy,1169000.0,Sopot,Świemirowo, 3,73.4,3,3,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1900.0,Gazowe,01.05.2023,04.03.2024,morizon-HEX389395,584,0,,,,,,,,,26.04.2023,,,,,,,,,,,,,,,Sprzedaży
Sopot Dolny. 200 m do plaży.kamienica,1249000.0,Sopot,Dolny Sopot, 2,71.7,3,3,,2.0,Wtórny,,Kamienica,,1896.0,,20.12.2023,23.03.2024,morizon-DH769380,436,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Ekskluzywny Apartament z tarasem i halą garażową,4800000.0,Sopot,Dolny Sopot, 3,120.0,1,3,1.0,2.0,Wtórny,Na wyłączność,Apartamentowiec,,,Co Miejskie,09.02.2023,03.02.2024,morizon-EC142682,1 691,0,,,,Tak,,,,,07.02.2023,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie Sopot Centrum,698000.0,Sopot,Dolny Sopot, 2,53.8,1,2,,,Wtórny,,Kamienica,Cegła,,Gazowe,24.04.2023,17.01.2024,morizon-AG625377,1 757,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
2 mieszkania w centrum Sopotu,1100000.0,Sopot,Dolny Sopot, 4,84.0,3,3,1.0,2.0,Wtórny,,Blok,Konstrukcja żelbetowa,1960.0,Co Miejskie,28.01.2021,06.11.2023,morizon-PAN334763147,5 863,0,,,Tak,,,,,,,,,,,,,,"71,30 m²",,,,,,,Sprzedaży
3 pokoje w Sopocie- second home/inwestycja,1329000.0,Sopot,Dolny Sopot, 3,58.0,2,2,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1928.0,Gazowe,02.10.2023,28.12.2023,morizon-WH936797,976,0,,,,,,,,,,,,,,,,,57 m²,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Apartament z ogródkiemSopotzamknięte osiedle,1499000.0,Sopot,Karlikowo, 2,58.3,3,3,,,Wtórny,,Apartamentowiec,,2011.0,Co Miejskie,04.08.2023,13.11.2023,morizon-PH226048,506,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Komfortowe 2 pokoje blisko morza,1840000.0,Sopot,Wyścigi, 2,72.5,1,3,,1.0,Wtórny,,Apartamentowiec,Cegła,2007.0,,08.12.2023,29.01.2024,morizon-WH125915,401,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
MIeszkanie przy plaży z widokiem na morze,1850000.0,Sopot,Dolny Sopot, 2,80.0,3,3,2.0,1.0,Wtórny,Na wyłączność,Kamienica,Cegła,1905.0,Elektryczne,18.08.2023,26.01.2024,morizon-EC793682,1 055,0,,,,,,,,,11.08.2023,,,,,,,,"44,10 m²",,,,,,,Sprzedaży
Mieszkanie z dusząw świetnej lokalizacji,1890000.0,Sopot,Dolny Sopot, 2,81.2,1,3,,1.0,Wtórny,,Kamienica,Cegła,1920.0,Gazowe,18.08.2023,19.01.2024,morizon-EC900321,614,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Piękneklimatyczne mieszkanie w kamienicy,1895000.0,Sopot,Dolny Sopot, 2,81.0,1,3,,,Wtórny,,Kamienica,,1920.0,,17.11.2023,03.02.2024,morizon-DH209396,215,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Ciche mieszkaniena nowoczesnym osiedlu,1995000.0,Sopot,Górny Sopot, 2,69.0,2,3,1.0,1.0,Wtórny,Na wyłączność,Apartamentowiec,,2011.0,Co Miejskie,02.11.2023,23.01.2024,morizon-EC209600,439,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Rentowna inwestycja! 5 pokoi Dolny Sopot,2264000.0,Sopot,Dolny Sopot, 5,136.26,2,3,,,Wtórny,Na wyłączność,Kamienica,Cegła,1910.0,Gazowe,07.12.2022,20.09.2023,morizon-PH677447,1 234,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Połowa willi w Sopocie,2650000.0,Sopot,Górny Sopot, 3,117.0,1,1,,2.0,Wtórny,,Kamienica,Cegła,1910.0,Gazowe,05.04.2023,22.01.2024,morizon-PAN230659,588,0,,,Nie,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Prosperujący obiekt inwestycyjny 3w1 200m od plaży,2850000.0,Sopot,Dolny Sopot, 4,128.0,1,3,1.0,5.0,Wtórny,Na wyłączność,Kamienica,Cegła,1920.0,Co Własne,18.09.2023,13.02.2024,morizon-WH690813,439,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament inwestycyjny w sercu Dolnego Sopotu,3750000.0,Sopot,Dolny Sopot, 6,180.0,1,2,,6.0,Wtórny,Na wyłączność,Kamienica,Cegła,1905.0,Gazowe,12.09.2023,28.12.2023,morizon-553113,477,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Piękna kawalerka w Sopocie,580000.0,Sopot,Dolny Sopot, 1,30.0,2,10,1.0,,Wtórny,,Blok,Cegła,1969.0,Co Miejskie,26.11.2023,15.02.2024,morizon-WH231390,883,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot2 pokojeInwestycjaOkazja,594900.0,Sopot,Przylesie, 2,35.4,1,10,1.0,1.0,Wtórny,,Wieżowiec,Wielka płyta,1970.0,Co Miejskie,15.12.2023,23.03.2024,morizon-464971,357,0,,,Tak,,,,,,15.12.2023,,,,,,,,,,,,,,,Sprzedaży
Dwupokojowe mieszkanie po remoncie. Inwestycja,650000.0,Sopot,Karlikowo, 2,38.0,3,3,1.0,1.0,Wtórny,Na wyłączność,Kamienica,Cegła,1950.0,Gazowe,31.10.2022,05.02.2023,morizon-EC121751,2 716,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Świetna przestrzeń po remoncie10 minut od plaży,1485000.0,Sopot,Dolny Sopot, 2,50.2,2,3,,1.0,Wtórny,Na wyłączność,Kamienica,Cegła,1950.0,Gazowe,02.10.2023,14.02.2024,morizon-EC252071,602,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament z ogrodem i trzema sypialniami,2550000.0,Sopot,Dolny Sopot, 4,92.65,3,3,,3.0,Wtórny,,Apartamentowiec,,2000.0,Co Miejskie,20.04.2023,01.03.2024,morizon-EC906287,612,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot,3367499.0,Sopot,Dolny Sopot, 4,134.7,2,3,,,Wtórny,Na wyłączność,,,,Gazowe,13.01.2024,13.03.2024,morizon-AK0912,513,0,Osobna,1.0,Nie,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
2 pokojowe mieszkanie w centrum Sopotu- inwestycja,599000.0,Sopot,Dolny Sopot, 2,43.2,3,3,,2.0,Wtórny,Na wyłączność,Kamienica,,1905.0,,11.08.2023,14.03.2024,morizon-DH331449,961,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie w Kamienicy3 pokoje Sopot Górny,999000.0,Sopot,Górny Sopot, 3,66.1,3,3,,1.0,Wtórny,,Kamienica,Cegła,1890.0,Gazowe,07.02.2024,07.02.2024,morizon-382711,315,0,,,,,,,,,01.02.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Górny,1800000.0,Sopot,Górny Sopot, 7,108.9,1,2,,,Wtórny,,,,1900.0,Gazowe,27.11.2023,27.11.2023,morizon-CN0752,389,0,Półotwarta,3.0,Nie,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Kawalerka nad samym morzem,659000.0,Sopot,Karlikowo, 1,33.6,3,3,1.0,,Wtórny,Na wyłączność,Kamienica,,1934.0,Gazowe,05.10.2023,02.02.2024,morizon-R-207055,968,0,,,,,,,,,10.11.2023,,,,,,,,,,,,,,,Sprzedaży
Zamieszkaj w cichej części Sopotu,1450000.0,Sopot,Wyścigi, 3,67.21,1,2,,,Wtórny,Na wyłączność,Apartamentowiec,,2000.0,,24.08.2023,14.12.2023,morizon-DH234957,484,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament Sopot,1473340.0,Sopot,Dolny Sopot, 4,66.97,3,3,1.0,,Pierwotny,,Apartamentowiec,Konstrukcja mieszana,,Co Własne,16.02.2024,16.02.2024,morizon-DJ677073,111,0,,,Tak,,,,,,30.06.2024,,,,,,,,,,,,,,,Sprzedaży
Przestronne 3 pokoje na zamkniętym osiedlu,1489000.0,Sopot,Przylesie, 3,100.0,2,3,,,Wtórny,,Apartamentowiec,,1998.0,Co Miejskie,20.05.2023,10.03.2024,morizon-TC375466,1 066,0,,,Tak,,,,,,01.05.2023,,,,,,,,"99,20 m²",,,,,,,Sprzedaży
MIeszkanie z dwoma balkonami i dużym strychem,2075000.0,Sopot,Dolny Sopot, 3,96.03,2,2,1.0,2.0,Wtórny,Na wyłączność,,,1910.0,,11.07.2023,20.02.2024,morizon-EC588404,875,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament z 2 balkonami2 miejscami parkingowymi,2650000.0,Sopot,Karlikowo, 3,105.3,2,2,,2.0,Wtórny,,Kamienica,,2011.0,Gazowe,05.10.2023,23.01.2024,morizon-EC800848,603,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Czteropokojowy Apartamenttuż przy plaży,2700000.0,Sopot,Dolny Sopot, 4,84.1,1,2,1.0,3.0,Wtórny,Na wyłączność,,,1900.0,,15.03.2023,08.01.2024,morizon-EC557196,1 126,0,,,,,,,,,15.03.2023,,,,,,,,,,,,,,,Sprzedaży
Sopot Unikat- 4 osobne mieszkania,2799000.0,Sopot,Dolny Sopot, 8,163.0,1,2,,,Wtórny,,Kamienica,,,Gazowe,24.10.2023,27.12.2023,morizon-474942,137,0,,,Nie,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Nowy apartament w Sopocie kameralnej inwestycji,2866500.0,Sopot,Kamienny Potok, 4,114.66,2,3,2.0,2.0,Pierwotny,,Apartamentowiec,,2025.0,Co Własne,29.11.2023,01.03.2024,morizon-DH463196,195,0,,,Tak,,,,,,01.04.2025,,,,,,,,,,,,,,,Sprzedaży
Nowy apartament z dużym ogrodem,3361250.0,Sopot,Kamienny Potok, 4,134.45,3,3,,3.0,Pierwotny,,Apartamentowiec,,2025.0,Co Własne,29.11.2023,01.03.2024,morizon-DH381854,189,0,,,Tak,,,,,,01.04.2025,,,,,,,,,,,,,,,Sprzedaży
Szlachetne wnętrze - 140 m2 - blisko plaży,3390000.0,Sopot,Dolny Sopot, 5,140.0,1,3,1.0,4.0,Wtórny,Na wyłączność,,,1900.0,,22.08.2021,17.11.2023,morizon-EC485004,4 431,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Nowy apartament 4 pok. z dużym ogrodem,3484750.0,Sopot,Kamienny Potok, 4,139.39,3,3,2.0,3.0,Pierwotny,,Apartamentowiec,,2025.0,Co Własne,29.11.2023,01.03.2024,morizon-DH301996,165,0,,,Tak,,,,,,01.04.2025,,,,,,,,,,,,,,,Sprzedaży
Nowa inwestycja w centrum Sopotu,402000.0,Sopot,Dolny Sopot, 1,20.1,2,3,,,Pierwotny,,Blok,Konstrukcja mieszana,2023.0,Co Miejskie,09.05.2022,06.12.2022,morizon-PAN448058,4 171,0,,,Nie,Nie,,,,,30.04.2023,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Centrum,570000.0,Sopot,Dolny Sopot, 1,21.94,3,3,,,Wtórny,,,,1900.0,Elektryczne,14.11.2023,12.04.2024,morizon-CN0770,405,0,Półotwarta,1.0,Nie,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Dolny,980000.0,Sopot,Dolny Sopot, 2,48.41,1,2,,,Wtórny,,,,1960.0,C.o. miejskie,14.11.2023,01.12.2023,morizon-KO06971,357,0,Osobna,1.0,Tak,Nie,Własność,Częściowo po remoncie,,,,,,,,,,,,,,,,,,Sprzedaży
Inwestycja w samym sercu Dolnego Sopotu,1169000.0,Sopot,Dolny Sopot, 2,59.8,3,3,,,Wtórny,,Kamienica,,1905.0,Gazowe,15.03.2023,20.02.2024,morizon-NN894903,1 059,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Opis nieruchomości,1212000.0,Sopot,Dolny Sopot, 2,57.95,1,1,,,Wtórny,,Dom wielorodzinny,Cegła,1940.0,Gazowe,22.12.2020,02.10.2023,morizon-PAN182713665,4 158,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Spacerem na plażę i kawę na Monte Cassino,1299000.0,Sopot,Górny Sopot, 2,63.0,2,2,,,Wtórny,,,,2000.0,,16.11.2023,07.03.2024,morizon-NN129390,528,0,,,Tak,Tak,,,,,,,,,,,,,80 m²,,,,,,,Sprzedaży
Zarabiający apartament przy ul Monte Cassino,1494500.0,Sopot,Dolny Sopot, 3,61.0,3,3,,3.0,Wtórny,,Kamienica,Cegła,1985.0,Gazowe,23.11.2023,10.04.2024,morizon-GOF177529,333,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Cudowny dwupoziomowy apartament w sercu Sopotu,1800000.0,Sopot,Górny Sopot, 3,100.0,3,3,,,Wtórny,,Kamienica,,1922.0,,23.05.2022,29.02.2024,morizon-1910/464/OMS,6 120,0,OTWARTA,1.0,,,WŁASNOŚĆ,,,,,,,,,,,,,,,,,,,Sprzedaży
Opis nieruchomości,3200000.0,Sopot,Dolny Sopot, 4,140.0,4,4,,3.0,Wtórny,Na wyłączność,Kamienica,Cegła,1930.0,Co Miejskie,27.11.2023,07.02.2024,morizon-HEX928822,420,0,,,,Tak,,,,,,,,,,,,,"112,90 m²",,,,,,,Sprzedaży
Luksusowy 5-pokojowy apartament o pow. 132 m2,5490000.0,Sopot,Dolny Sopot, 5,132.0,3,3,1.0,4.0,Wtórny,,,,2014.0,,26.06.2023,21.02.2024,morizon-EC828727,640,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Nowa inwestycja w centrum Sopotu,472000.0,Sopot,Dolny Sopot, 1,23.6,3,3,,,Pierwotny,,Blok,Konstrukcja mieszana,2023.0,Co Miejskie,09.05.2022,06.12.2022,morizon-PAN389953,2 137,0,,,Nie,Nie,,,,,30.04.2023,,,,,,,,,,,,,,,Sprzedaży
Luksusoweunikatowe studio po generalnym remoncie w Sopocie,585000.0,Sopot,Brodwino, 1,30.0,2,11,,,Wtórny,,,,,,20.02.2024,20.02.2024,morizon-1538318510,317,0,,,,,,,,,Od zaraz,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Dolny,800000.0,Sopot,Dolny Sopot, 2,27.9,3,3,,,Wtórny,,,,1900.0,Gazowe,14.11.2023,14.03.2024,morizon-CN0746,736,0,Półotwarta,1.0,Nie,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Sopot - 2 pokoje - blisko plaży i centrum,950000.0,Sopot,Karlikowo, 2,44.0,4,4,,,Wtórny,,Blok,,,,02.02.2024,19.04.2024,morizon-1831/13290/OMS,304,0,ANEKS KUCHENNY,1.0,Tak,,,,BARDZO WYSOKI STANDARD,,,,,,,,,,,,,,,,,Sprzedaży
5 minut na Monte Casino i spacerem do plaży,999000.0,Sopot,Górny Sopot, 3,66.1,3,3,1.0,3.0,Wtórny,,,,,,06.02.2024,22.02.2024,morizon-NN691024,413,0,,,,,,,,,01.02.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie z domkiem letniskowym blisko plaży,1280000.0,Sopot,Karlikowo, 3,65.0,1,2,,2.0,Wtórny,Na wyłączność,,,1930.0,,15.03.2024,15.03.2024,morizon-HEX132884,174,0,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Centrum Sopotu 2 pokoje,1300000.0,Sopot,Dolny Sopot, 2,53.0,3,4,,,Wtórny,,Blok,Cegła,1960.0,Gazowe,22.12.2020,09.01.2023,morizon-PAN812049223,3 512,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament 3 minuty od plaży,1850000.0,Sopot,Dolny Sopot, 4,92.76,3,3,,,Wtórny,,Apartamentowiec,YTong,2003.0,Elektryczne,08.05.2023,11.10.2023,morizon-PAN862871,949,0,,,Tak,Nie,,,,,,,,,,,,,120 m²,,,,,,,Sprzedaży
Cudo architektury Sopotu85 m2,2700000.0,Sopot,Dolny Sopot, 3,85.0,3,3,,2.0,Wtórny,,,,1920.0,,17.11.2023,14.02.2024,morizon-EC152031,218,0,,,,,,,,,11.06.2023,,,,,,,,,,,,,,,Sprzedaży
Nowa inwestycja w centrum Sopotu,454000.0,Sopot,Dolny Sopot, 1,22.7,3,3,,,Pierwotny,,Blok,Konstrukcja mieszana,2023.0,Co Miejskie,09.05.2022,05.03.2024,morizon-PAN346004,2 535,0,,,Tak,Nie,,,,,30.04.2023,,,,,,,,,,,,,,,Sprzedaży
Nieruchomość w Hiszpani - Costa Blanca,1161000.0,Sopot,Dolny Sopot, 3,75.0,3,3,1.0,,Wtórny,,Apartamentowiec,,2020.0,,10.10.2022,15.04.2024,morizon-415901,5 208,0,,,Nie,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie z ogrodem - stan deweloperski,1430000.0,Sopot,Dolny Sopot, 3,68.4,3,3,1.0,2.0,Wtórny,,Kamienica,Cegła,1896.0,,09.06.2022,28.11.2023,morizon-EC401354,2 754,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie tuż przy plaży w najlepszej lokalizacji,1490000.0,Sopot,Dolny Sopot, 3,63.3,1,2,1.0,2.0,Wtórny,,Kamienica,Cegła,1900.0,,27.10.2021,11.03.2024,morizon-EC802698,3 833,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie w odrestaurowanej kamienicy,2890000.0,Sopot,Dolny Sopot, 5,106.0,2,2,1.0,4.0,Wtórny,Na wyłączność,Kamienica,Cegła,1890.0,Co Miejskie,15.02.2022,20.12.2023,morizon-WH735649,2 239,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Przestronne mieszkanie5 minut spacerem od plaży,1390000.0,Sopot,Dolny Sopot, 3,69.0,3,3,,3.0,Wtórny,Na wyłączność,,,1957.0,,22.11.2023,12.01.2024,morizon-NN596708,425,0,,,,,,,,,17.11.2023,,,,,,,,,,,,,,,Sprzedaży
Dwupoziomowy apartament z 2 balkonami blisko plaży,2390000.0,Sopot,Karlikowo, 4,114.16,3,3,2.0,2.0,Wtórny,,,,2007.0,,12.04.2021,17.11.2023,morizon-EC281982,4 417,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Ekskluzywny niewielki Apartament z dwoma balkonami,2500000.0,Sopot,Dolny Sopot, 2,75.0,3,3,,1.0,Wtórny,Na wyłączność,,,2004.0,,15.02.2023,24.05.2023,morizon-EC547263,1 398,0,,,Tak,,,,,,09.02.2023,,,,,,,,,,,,,,,Sprzedaży
Fenomenalny apartament w Sopocie Dolnym,2950000.0,Sopot,Dolny Sopot, 2,112.0,3,3,1.0,,Wtórny,,Kamienica,,1903.0,Gazowe,18.09.2023,30.11.2023,morizon-DJ649268,198,0,,,,,,,,,18.09.2023,,,,,,,,,,,,,,,Sprzedaży
Kawalerka w Górnym Sopocie po generalnym remoncie,520000.0,Sopot,Górny Sopot, 1,17.0,1,10,,,Wtórny,Na wyłączność,Wieżowiec,WIELKA PŁYTA,1970.0,C.O. Z SIECI MIEJSKIEJ,01.10.2022,17.02.2024,morizon-21496/2089/OMS,2 081,0,ANEKS KUCHENNY,1.0,,,SPÓŁDZIELCZE WŁASNOŚCIOWE,,BARDZO WYSOKI STANDARD,,,250 cm,,,,,,,,,,,,,,Sprzedaży
Zainwestuj w Sopocie! Mieszkanie na sprzedaż,1380000.0,Sopot,Dolny Sopot, 4,92.0,1,2,,3.0,Wtórny,,Kamienica,,1913.0,,05.06.2023,07.08.2023,morizon-DH990572,261,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Sopocki apartament,1392976.0,Sopot,Dolny Sopot, 4,66.97,3,3,1.0,,Pierwotny,,Blok,Zróżnicowany,2024.0,Miejskie,04.09.2023,08.03.2024,morizon-40,537,0,Aneks,2.0,Nie,Tak,Własność,Rozpoczęta budowa,Do wykończenia,,30.06.2024,265 cm,Tak,,,55 m²,,"3,33 m²",,,,,,,,Sprzedaży
Mieszkanie - Sopot,1249000.0,Sopot,Karlikowo, 3,56.0,3,11,,,Wtórny,,,,1978.0,C.o. miejskie,10.11.2022,10.11.2022,morizon-KJ04221,1 121,0,Osobna,1.0,Tak,Nie,Własność,Wysoki standard,,,,,,,,,,,,,,,,,,Sprzedaży
Elegancki apartament w sercu Sopotu,7000000.0,Sopot,Dolny Sopot, 5,181.82,2,3,,2.0,Wtórny,,,,2005.0,,15.10.2022,29.12.2022,morizon-EC735198,2 234,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
3-pok.do własnej aranżacji w Sopocie Górnym,999000.0,Sopot,Górny Sopot, 3,66.1,3,3,1.0,,Wtórny,,Kamienica,Cegła,1890.0,Gazowe,09.02.2024,09.02.2024,morizon-DJ139289,297,0,,,,,,,,,09.02.2024,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament nad morzem- SOPOT,2950000.0,Sopot,Dolny Sopot, 2,112.0,3,3,,,Wtórny,,Kamienica,,,,19.10.2023,09.01.2024,morizon-212841,159,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
mieszkanie 57 m2 w Dolnym Sopocieblisko morza,1150000.0,Sopot,Dolny Sopot, 3,57.0,2,2,1.0,,Wtórny,,Kamienica,Cegła,1920.0,Gazowe,26.02.2024,03.04.2024,morizon-1538357454,304,0,Półotwarta,,Nie,Tak,Własność,,Do remontu,,Kwiecień 2024,,Tak,,,,,,,,,,,,,Sprzedaży
INWESTYCYJNE MIESZKANIE W SOPOCIE,999000.0,Sopot,Górny Sopot, 3,66.1,3,3,,3.0,Wtórny,,Kamienica,Cegła,1890.0,Gazowe,13.02.2024,11.03.2024,morizon-PAN500676,136,0,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Centrum,1100000.0,Sopot,Dolny Sopot, 3,87.4,3,3,,,Wtórny,,,,,Gazowe,07.05.2020,06.07.2022,morizon-NY017934,4 752,0,Półotwarta,2.0,Nie,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Komfortowe 4 Pokoje Nowa Inwestycja 1 5 km od Molo,2284375.0,Sopot,Górny Sopot, 5,106.25,2,3,,4.0,Pierwotny,,Apartamentowiec,,2024.0,Co Miejskie,23.03.2023,05.06.2023,morizon-956142,403,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Dolny,499000.0,Sopot,Dolny Sopot, 1,19.4,3,3,,,Wtórny,,,,1900.0,Elektryczne,24.09.2023,05.04.2024,morizon-CN0769,757,0,Półotwarta,1.0,Nie,Nie,Własność,Dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Parkowa w najlepszym wydaniu,6600000.0,Sopot,Dolny Sopot, 4,122.0,1,3,,3.0,Wtórny,Na wyłączność,,,,,05.03.2024,04.03.2024,morizon-529264795,140,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Opis nieruchomości,1500000.0,Sopot,Górny Sopot, 4,73.27,2,2,,,Wtórny,,Kamienica,,1915.0,Gazowe,28.11.2023,18.01.2024,morizon-833478,211,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie 70m2 Sopot! 300 metrów od morza,1260000.0,Sopot,Dolny Sopot, 3,70.0,3,3,1.0,,Wtórny,,Kamienica,Cegła,,Co Własne,14.09.2023,31.12.2023,morizon-DJ524401,763,0,,,,,,,,,13.09.2023,,,,,,,,,,,,,,,Sprzedaży
Apartament z dużym ogrodem w sercu Sopotu,2337500.0,Sopot,Górny Sopot, 5,106.25,3,3,1.0,4.0,Pierwotny,,Apartamentowiec,Silikat,2023.0,Co Miejskie,07.08.2023,30.11.2023,morizon-TC550387,307,0,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Inwestycyjne 3 mieszkania w jednym Sopot koło UG,1649000.0,Sopot,Górny Sopot, 5,93.1,2,3,,,Wtórny,Na wyłączność,,,1950.0,,12.01.2022,14.05.2023,morizon-980811,2 657,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Dwa apaartamenty Sopot,2290000.0,Sopot,Karlikowo, 3,74.0,3,3,1.0,,Wtórny,,Apartamentowiec,Pustak,,Co Miejskie,09.11.2023,04.02.2024,morizon-DJ495680,186,0,,,,Tak,,,,,09.11.2023,,,,,,,,,,,,,,,Sprzedaży
Sopot DolnySopot GórnySopot Wyścigi,1500000.0,Sopot,Dolny Sopot, 3,80.0,3,3,1.0,,Wtórny,,Kamienica,Cegła,1900.0,,01.12.2023,16.04.2024,morizon-SE0000,610,0,Otwarta,1.0,Tak,Tak,Własność,Bardzo dobry,,,,300 cm,Nie,,4 m²,100 m²,Tak,4 m²,,10 m²,,4 m²,,,,Sprzedaży
Mieszkanie - Sopot,1880000.0,Sopot,Dolny Sopot, 3,81.0,1,2,1.0,,Wtórny,,Kamienica,,1910.0,Gazowe,21.11.2023,02.02.2024,morizon-HL0813,238,0,Osobna,1.0,Nie,Nie,Własność,Bardzo dobry,Bardzo dobry,,,,Nie,,,,Tak,,,,,,,,,Sprzedaży
